State,District,City,Latitude,Longitude
Telangana,Bhadradri Kothagudem,-,0,0
Telangana,Hyderabad,-,17.37,78.48
Telangana,Jagtial,-,18.8,78.93
Telangana,Jangaon,-,17.72,79.18
Telangana,Jayashankar Bhupalpally,-,0,0
Telangana,Jogulamba Gadwal,-,0,0
Telangana,Kamareddy,-,18.32,78.33
Telangana,Karimnagar,-,18.43,79.12
Telangana,Khammam,-,17.25,80.17
Telangana,Mahabubabad,-,17.62,80.02
Telangana,Mahbubnagar,-,16.75,78
Telangana,Mancherial,-,18.87,79.43
Telangana,Medak,-,18.03,78.25
Telangana,Medchal-Malkajgiri,-,0,0
Telangana,Mulugu,-,18.18,79.93
Telangana,Nalgonda,-,17.05,79.27
Telangana,Narayanpet,-,16.73,77.5
Telangana,Nagarkurnool,-,16.48,78.33
Telangana,Nirmal,-,19.1,78.35
Telangana,Nizamabad,-,18.68,78.1
Telangana,Peddapalli,-,18.6,79.38
Telangana,Rajanna Sircilla,-,0,0
Telangana,Ranga Reddy,-,17.3,78.1
Telangana,Sangareddy,-,17.62,78.08
Telangana,Siddipet,-,18.1,78.85
Telangana,Suryapet,-,17.13,79.62
Telangana,Vikarabad,-,17.33,77.9
Telangana,Wanaparthy,-,16.35,78.05
Telangana,Warangal Urban,-,17.95,79.5
Telangana,Warangal Rural,-,0,0
Telangana,Yadadri Bhuvanagiri,-,0,0
Tripura,Dhalai,-,23.93,91.85
